id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
27564448,"Silbury Rd, Ashton Vale",61530225,Giovanni,Bedminster,51.43497,-2.62854,Private room,31,2,56,19/12/2021,1.36,1,171
27576084,The Old Bank - No.1 - Your Apartment,125651447,Your Apartment,Brislington West,51.44248,-2.5601,Hotel room,84,1,17,8/11/2021,0.44,63,353
27576492,The Old Bank - No. 2 - Your Apartment,125651447,Your Apartment,Brislington West,51.44089,-2.56094,Entire home/apt,86,1,21,27/11/2021,0.51,63,344
27576748,The Old Bank - No.3 - Your Apartment,125651447,Your Apartment,Brislington West,51.4408,-2.56026,Entire home/apt,85,1,29,12/11/2021,0.71,63,343
27587231,The Old Bank - No.4 - Your Apartment,125651447,Your Apartment,Brislington West,51.44451,-2.554,Entire home/apt,85,1,15,17/11/2021,0.37,63,345
27593797,Bristol City Centre Apartment with Parking,120383529,Sameep,Hotwells & Harbourside,51.45128,-2.60206,Entire home/apt,114,1,98,28/11/2021,2.41,1,333
27622534,"Woodburner, City View or Blanket box room",360195,Sarah,Windmill Hill,51.43999,-2.59115,Private room,36,1,26,11/12/2021,0.75,5,27
27696670,Attractive one bed flat in Clifton Village,209074663,Rozzy,Clifton,51.45387,-2.61963,Hotel room,90,2,40,6/12/2021,1,1,365
27830397,A tranquil hideaway in Clifton Village,15363066,Shena,Clifton,51.45252,-2.62102,Private room,50,2,146,12/12/2021,3.75,1,35
27849133,"The Garden Flat - parking, Whiteladies & UoB",210321255,Anna,Clifton Down,51.46237,-2.61065,Entire home/apt,60,3,227,13/12/2021,5.61,1,52
27997624,"Gorgeous 3 Bedroom Town House In Clifton, Bristol",211085471,Natalie,Clifton,51.45415,-2.62373,Entire home/apt,347,2,45,20/11/2021,1.16,1,300
28007880,Lovely private room in a family home,211534713,Suzanna,Lockleaze,51.48655,-2.56768,Private room,25,1,199,18/12/2021,4.95,1,162
28094403,Double Room in Family Home close to city centre,150917219,Becky,Knowle,51.4361,-2.57409,Private room,25,2,75,18/12/2021,1.89,1,327
28140070,Ashley down studio flat,62109272,Mohamed,Bishopston & Ashley Down,51.47852,-2.57969,Entire home/apt,40,1,11,6/3/2020,0.37,1,348
28171946,City Of Bristol Apartment with Large Garden,60127103,Patrick,Cotham,51.46902,-2.59537,Entire home/apt,116,2,44,28/11/2021,1.1,1,0
28234444,No 75,213266388,Richard,Horfield,51.49177,-2.57981,Private room,32,1,107,28/11/2021,2.72,1,54
28253368,Self-contained studio in quiet leafy road,93489115,Kate,Eastville,51.47915,-2.53965,Entire home/apt,60,1,100,9/12/2021,2.54,1,134
28269452,Stunning peaceful apartment nr Bristol TempleMeads,16961112,Adam,Brislington West,51.43629,-2.56117,Entire home/apt,125,2,57,28/11/2021,1.43,1,361
28339361,Sunny and modern flat in a Georgian House,100517387,Hisham,Eastville,51.48341,-2.55878,Entire home/apt,60,4,12,5/12/2021,0.3,2,5
28357913,Furnished retro room in centre of Bristol (23),54503007,Patrick,Central,51.45481,-2.59287,Private room,73,1,77,13/11/2021,2.13,7,332
28384744,"Cosy ,rustic,self contained guest suite",214294715,Tony,St George West,51.45999,-2.55282,Entire home/apt,44,2,187,19/12/2021,4.69,1,62
28490291,Double bedroom in a sunny modern flat,100517387,Hisham,Eastville,51.48357,-2.55675,Private room,37,1,69,28/11/2021,1.75,2,82
28635166,Characterful Family Home- close to city centre,12917949,Ollie & Katherine,Southville,51.44321,-2.60285,Entire home/apt,151,2,11,20/9/2021,0.29,1,0
28654560,[Rare!] BS3 Cozy Room Garden View Perfect Location,32808632,Chlo??,Bedminster,51.43636,-2.60424,Private room,39,1,27,11/3/2020,0.72,2,51
28678621,Bright Modern Apartment in Bristol,19948901,Simon,Knowle,51.44269,-2.56708,Entire home/apt,92,2,34,29/10/2021,0.89,1,121
28682785,"High ceiling room + parking in Redland, Bristol",11733238,Fiona,Redland,51.47156,-2.59596,Private room,40,3,0,,,1,83
28731987,"Henleaze, en-suite king size double, free parking",16091010,Catherine,Westbury-on-Trym & Henleaze,51.48994,-2.60082,Private room,38,2,52,19/12/2021,1.37,1,72
28796667,No.73 - Mr Fox room. Boutique style nr Glos Rd,64553182,Jodie,Bishopston & Ashley Down,51.48197,-2.58589,Private room,56,2,13,12/12/2021,0.34,3,66
28905732,Sunny central family home with great views,30760760,Susy,Ashley,51.46998,-2.5869,Entire home/apt,121,2,10,22/8/2021,0.34,1,84
29087234,Lovely room in private house,43873674,Jackie,Bishopston & Ashley Down,51.47634,-2.58945,Private room,46,2,26,11/12/2021,0.68,1,56
29185738,Beautiful Healing Retreat with Forest Views.,973549,Joy,Brislington East,51.44404,-2.54161,Private room,75,1,12,28/11/2021,0.32,1,87
29416965,"Victorian house, bedroom and separate  bathroom",20605126,Val,Clifton Down,51.46994,-2.61011,Private room,60,1,7,8/3/2020,0.25,2,0
29530787,Beautiful Blue Room in Artistic household,87714363,Hilary,Cotham,51.46385,-2.59162,Private room,50,2,5,10/2/2020,0.14,2,39
29533769,Bright room in the centre of Bristol (21),54503007,Patrick,Central,51.45445,-2.59277,Private room,73,1,81,9/12/2021,2.14,7,327
29541041,No.73 - Barney Owl room. Boutique style nr Glos rd,64553182,Jodie,Bishopston & Ashley Down,51.48059,-2.58495,Private room,56,2,15,12/12/2021,0.44,3,63
